,datetime,interval_minutes,index,ntp_volume_this_tip_intervalml,A Current,Peaks,Troughs,Peaks_daily_avg,Troughs_daily_avg,A Current_daily_avg,ntp_volume_this_tip_intervalml_daily_avg,pH,sCOD_kg/m3,COD_kg/m3,CH4%,CO2,H2S,TE,TS,VS,TSS,COND,VFA,sample_vol
0,2024-02-04 00:00:00,,1.0,51.63454212454212,25.888,,,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
1,2024-02-04 00:00:00,,0.0,51.63454212454212,25.9,,,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
2,2024-02-04 00:10:00,,572.0,,25.9,,,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
3,2024-02-04 00:10:00,,573.0,,25.793,,,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
4,2024-02-04 00:20:00,,574.0,,25.6,,,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
5,2024-02-04 00:20:00,,575.0,,25.698,,,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
6,2024-02-04 00:30:00,,576.0,,25.525,,,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
7,2024-02-04 00:40:00,,577.0,,25.391,,,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
8,2024-02-04 00:50:00,,578.0,,25.335,,,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
9,2024-02-04 01:00:00,,2.0,41.29904761904761,25.136,,,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
10,2024-02-04 01:10:00,,579.0,,25.052,,,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
11,2024-02-04 01:20:00,,581.0,,24.88,,,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
12,2024-02-04 01:20:00,,580.0,,25.2,,,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
13,2024-02-04 01:30:00,,582.0,,24.9,,,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
14,2024-02-04 01:30:00,,583.0,,24.737,,,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
15,2024-02-04 01:40:00,,584.0,,24.5,,,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
16,2024-02-04 01:40:00,,585.0,,24.585,,,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
17,2024-02-04 01:50:00,,586.0,,24.6,,,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
18,2024-02-04 01:50:00,,587.0,,24.539,,,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
19,2024-02-04 02:00:00,,3.0,113.51871794871795,24.352,,,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
20,2024-02-04 02:10:00,,588.0,,24.232,,,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
21,2024-02-04 02:20:00,,589.0,,24.204,,24.204,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
22,2024-02-04 02:30:00,,590.0,,24.521,,,32.4,24.204,30.455638497652583,87.61590174531351,,,,,,,,,,,,,
